iter	Passed	Remaining
0	172	172797
1	194	96866
2	214	71337
3	237	59050
4	259	51685
5	283	46934
6	306	43485
7	328	40689
8	346	38142
9	364	36110
10	384	34575
11	407	33522
12	427	32454
13	443	31209
14	465	30565
15	482	29666
16	501	29012
17	517	28256
18	536	27689
19	556	27292
20	574	26774
21	593	26387
22	616	26201
23	635	25853
24	655	25568
25	680	25480
26	699	25191
27	720	25017
28	737	24704
29	755	24422
30	771	24126
31	791	23936
32	808	23690
33	826	23480
34	840	23186
35	856	22941
36	872	22706
37	887	22472
38	906	22329
39	922	22132
40	940	21988
41	956	21821
42	973	21665
43	990	21512
44	1007	21371
45	1024	21239
46	1042	21147
47	1059	21019
48	1076	20884
49	1094	20798
50	1114	20742
51	1134	20687
52	1153	20607
53	1174	20569
54	1195	20545
55	1213	20449
56	1233	20407
57	1253	20363
58	1275	20342
59	1294	20281
60	1313	20225
61	1329	20110
62	1345	20015
63	1411	20638
64	1430	20576
65	1446	20476
66	1463	20379
67	1484	20340
68	1505	20316
69	1523	20240
70	1540	20150
71	1560	20118
72	1577	20038
73	1596	19974
74	1614	19913
75	1630	19827
76	1645	19723
77	1673	19776
78	1691	19715
79	1707	19636
80	1724	19566
81	1742	19504
82	1757	19417
83	1775	19363
84	1792	19292
85	1810	19236
86	1826	19168
87	1845	19122
88	1862	19067
89	1879	19004
90	1893	18915
91	1909	18842
92	1925	18775
93	1941	18708
94	1964	18714
95	1979	18639
96	1994	18566
97	2007	18481
98	2027	18447
99	2046	18418
100	2062	18356
101	2077	18287
102	2090	18207
103	2105	18138
104	2120	18074
105	2137	18024
106	2155	17989
107	2170	17928
108	2185	17867
109	2199	17794
110	2213	17726
111	2227	17657
112	2237	17566
113	2249	17485
114	2262	17414
115	2277	17354
116	2288	17272
117	2301	17205
118	2313	17130
119	2328	17072
120	2341	17012
121	2354	16943
122	2361	16837
123	2375	16782
124	2389	16727
125	2400	16653
126	2413	16590
127	2429	16548
128	2446	16521
129	2462	16477
130	2477	16434
131	2492	16391
132	2508	16350
133	2522	16299
134	2534	16240
135	2541	16143
136	2553	16087
137	2567	16035
138	2581	15992
139	2595	15943
140	2610	15904
141	2625	15861
142	2640	15823
143	2654	15782
144	2668	15733
145	2688	15723
146	2703	15687
147	2709	15598
148	2724	15559
149	2741	15536
150	2755	15492
151	2769	15451
152	2784	15417
153	2802	15395
154	2816	15352
155	2833	15328
156	2852	15316
157	2867	15282
158	2882	15245
159	2896	15207
160	2911	15172
161	2928	15148
162	2948	15140
163	2966	15120
164	2981	15089
165	2997	15057
166	3004	14986
167	3018	14947
168	3029	14896
169	3044	14864
170	3056	14819
171	3070	14779
172	3083	14741
173	3099	14715
174	3116	14691
175	3132	14664
176	3146	14628
177	3161	14600
178	3176	14570
179	3190	14534
180	3203	14493
181	3215	14454
182	3229	14418
183	3244	14388
184	3258	14356
185	3269	14309
186	3284	14277
187	3300	14256
188	3314	14224
189	3330	14199
190	3344	14166
191	3359	14139
192	3375	14115
193	3390	14087
194	3405	14058
195	3412	13996
196	3429	13978
197	3443	13948
198	3458	13920
199	3473	13892
200	3487	13862
201	3501	13831
202	3516	13805
203	3532	13781
204	3546	13754
205	3561	13727
206	3576	13702
207	3594	13686
208	3610	13665
209	3626	13642
210	3639	13610
211	3654	13584
212	3671	13566
213	3689	13550
214	3706	13533
215	3726	13526
